"line","direction","raw_duration","duration","distance","average_speed","stop_number","other_meta_number","date","user","heure pointe","name","trace_id"
"29","A","96","100","21058","13","31","33","2019-11-18","Gomis%20LY","False","29___A___LA_2019_11_18_11_46_47.gpx","3159539"
"205","B","79","80","14048","11","23","26","2019-11-13","olivier%20kouame","False","205___B___KKO___HP_2019_11_13_08_39_41.gpx","3148043"
"772","A","47","50","27471","35","1","3","2019-11-12","Gomis%20LY","False","772___A___LA_2019_11_12_15_18_52.gpx","3148184"
"772","B","114","115","28340","15","34","36","2019-11-12","Gomis%20LY","False","772___B___LA___HP_2019_11_12_17_00_31.gpx","3148183"
"729","B","77","80","19824","16","16","19","2019-11-12","olivier%20kouame","True","729___B___KKO___HP_2019_11_12_18_38_10.gpx","3148042"
"729","A","75","75","21190","17","17","20","2019-11-12","olivier%20kouame","False","729___A___KKO_2019_11_12_10_39_51.gpx","3148041"
"53","A","91","95","22630","15","19","22","2019-11-12","Jean-Philippe%20Koffi","False","53__Vridi_Cit____Campus___A___JPK___HP_2019_11_12_08_36_39.gpx","3147563"
"STL","B","93","95","16704","11","5","5","2019-11-12","Kone%20Mariama","True","STL_B_KM_HP_Koumassi_abobodoum___2019_11_12_18_57_02.gpx","3147540"
"STL","A","68","70","5862","5","1","4","2019-11-12","Kone%20Mariama","False","STL_A_KM_HP_Treichville_abobodoum___2019_11_12_16_21_15.gpx","3147539"
"775","B","78","80","16396","13","21","24","2019-11-12","Kone%20Mariama","True","775_B_KM_HP_2019_11_12_07_42_53.gpx","3147538"
"775","A","58","60","16396","17","16","19","2019-11-12","Kone%20Mariama","False","775_A_KM_HP_2019_11_12_06_42_56.gpx","3147537"
"17","?","48","50","17087","21","16","18","2019-11-12","kowao%20bruce","False","17___Vridi_Canal___Gare_Gonzagueville___BKD_2019_11_12_10_50_38.gpx","3147484"
"17","?","58","60","17115","18","20","21","2019-11-12","kowao%20bruce","False","17__Gare_Gonzagueville___Vridi_Canal___BKD_2019_11_12_09_51_59.gpx","3147483"
"17","B","34","35","12687","22","16","18","2019-11-12","kowao%20bruce","False","17___Vridi_Canal___Gonzagueville___B__BKD___HP_2019_11_12_07_59_31.gpx","3147481"
"17","?","67","70","16804","15","17","18","2019-11-12","kowao%20bruce","False","17___Gare_SOTRA_Gonzagueville___Vridi_Canal___BKD___HP_2019_11_12_06_45_08.gpx","3147480"
"211","B","77","80","20923","16","21","23","2019-11-11","Gomis%20LY","True","211___B___LA___HP_2019_11_11_07_28_02.gpx","3148182"
"771","B","124","125","28960","14","30","32","2019-11-11","ZELY%20BEDEL","False","771__Vridri_Ifran__Yopougon_Niangon_sud_a_droite__B___HP__ZB_2019_11_11_17_17_39.gpx","3147340"
